Rank,Player,Region,Main Character,Secondary Characters
1,Armada,Europe,Peach,Fox
2,Hungrybox,Florida,Jigglypuff,
3,Mango,SoCal,Falco,Fox
4,Mew2King,Florida,Sheik,Marth
5,Leffen,Europe,Fox,
6,Plup,Florida,Sheik,Fox
7,ChuDat,MD/VA,Ice Climbers,
8,SFAT,SoCal,Fox,
9,Axe,Southwest,Pikachu,Falco
10,Wizzrobe,Florida,Captain Falcon,
11,Druggedfox,Florida,Fox,
12,Westballz,SoCal,Falco,
13,Swedish Delight,Tristate,Sheik,
14,Shroomed,NorCal,Sheik,Marth
15,Duck,Midwest,Samus,
16,S2J,SoCal,Captain Falcon,
17,Lucky,SoCal,Fox,
18,n0ne,Canada,Captain Falcon,
19,PewPewU,NorCal,Marth,
20,Ice,Europe,Fox,
21,HugS,SoCal,Samus,
22,Mike Haze,SoCal,Fox,
23,Crush,New England,Fox,
24,The Moon,Tristate,Marth,
25,dizzkidboogie,NorCal,Ice Climbers,
26,Nintendude,NorCal,Ice Climbers,
27,KJH,Midwest,Fox,
28,Colbol,Florida,Fox,Marth
29,Professor Pro,Europe,Fox,
30,Syrox,Southwest,Fox,
31,KirbyKaze,Canada,Sheik,
32,Bladewise,NorCal,Peach,
33,Laudandus,NorCal,Sheik,
34,aMSa,Japan,Yoshi,
35,Gahtzu,Florida,Captain Falcon,
36,MacD,SoCal,Peach,
37,Ryan Ford,Canada,Fox,
38,Slox,New England,Fox,Captain Falcon
39,Captain Smuckers,Tristate,Captain Falcon,
40,Rishi,Tristate,Marth,
41,Zain,MD/VA,Marth,
42,Prince Abu,Midwest,Jigglypuff,
43,Trif,Europe,Peach,
44,Amsah,Europe,Sheik,
45,Santiago,SoCal,Falco,
46,Mafia,New England,Peach,
47,Kels,Midwest,Fox,
48,lloD,MD/VA,Peach,
49,Captain Faceroll,NorCal,Sheik,
50,Chillindude,MD/VA,Fox,
51,Abate,Tristate,Luigi,
51,Android,Europe,Sheik,
51,Blea Gelo,Florida,Luigi,
51,Drunksloth,Florida,Ice Climbers,
51,Hax$,Tristate,Fox,
51,Ginger,Midwest,Falco,
51,iBDW,Tristate,Fox,
51,DJ Nintendo,Tristate,Fox,
51,Overtriforce,Europe,Sheik,
51,Lovage,SoCal,Fox,
51,King Momo,Florida,Falco,
51,Medz,Southwest,Fox,Marth
51,Jeapie,Europe,Captain Falcon,
51,ARMY,SoCal,Ice Climbers,
51,Junebug,MD/VA,Sheik,
51,Kage,Canada,Ganondorf,
51,Jerry,MD/VA,Fox,
