RANK,PLAYER,W/L by RANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armada,Wins:,2 (3),3 (7),4 (3),5 (6),6 (1),7 (3),9 (2),10 (4),11 (1),12 (2),14 (3),15 (2),16 (2),17 (1),18 (1),20 (1),21 (2),22 (1),25 (1),26 (1),27 (1),29 (1),31 (1),36 (1),38 (1),43 (2),44 (4),51 (1),58 (2),59 (1),66 (1),,,,,,,,,,,,
1,,Losses:,2 (5),3 (2),4 (1),5 (3),6 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hungrybox,Wins:,1 (5),3 (6),4 (10),5 (6),6 (19),7 (3),8 (6),9 (2),10 (5),11 (4),12 (3),13 (5),14 (1),15 (5),16 (5),17 (4),18 (2),19 (2),21 (5),23 (2),24 (2),25 (1),26 (1),27 (1),28 (18),29 (2),30 (1),31 (2),32 (1),34 (2),35 (6),37 (1),38 (1),39 (2),40 (1),41 (3),42 (2),65 (1),61 (1),55 (1),54 (1),56 (1),53 (1)
2,,Losses:,1 (3),3 (5),4 (7),5 (4),6 (5),8 (1),10 (2),17 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mango,Wins:,1 (2),2 (5),4 (3),5 (2),6 (3),7 (2),8 (1),9 (4),10 (3),11 (1),13 (1),14 (2),15 (1),16 (2),17 (1),19 (2),20 (2),21 (1),22 (1),23 (3),24 (1),26 (1),29 (1),31 (1),39 (1),42 (1),46 (1),61 (1),,,,,,,,,,,,,,,
3,,Losses:,1 (7),2 (6),4 (1),5 (3),6 (1),7 (3),9 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mew2King,Wins:,1 (1),2 (7),3 (1),5 (5),6 (5),7 (1),8 (4),9 (3),10 (3),11 (1),12 (3),13 (1),14 (2),15 (1),16 (3),17 (2),18 (2),19 (3),20 (1),21 (2),22 (2),24 (3),27 (3),28 (7),31 (1),32 (1),34 (1),35 (2),36 (1),37 (1),40 (1),41 (1),48 (1),49 (1),50 (1),54 (1),52 (1),66 (1),55 (1),53 (1),,,
4,,Losses:,1 (3),2 (10),3 (3),5 (2),6 (2),7 (4),8 (3),9 (4),10 (1),16 (1),18 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Leffen,Wins:,1 (3),2 (4),3 (3),4 (2),6 (2),7 (2),8 (3),9 (3),11 (1),12 (2),14 (2),15 (1),16 (3),17 (2),18 (2),19 (3),20 (2),21 (1),22 (1),23 (4),24 (1),29 (1),31 (2),35 (2),36 (3),37 (2),43 (1),44 (2),48 (1),64 (1),65 (1),,,,,,,,,,,,
5,,Losses:,1 (6),2 (6),3 (2),4 (5),6 (5),7 (1),8 (2),11 (1),15 (1),24 (1),41 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Plup,Wins:,1 (1),2 (4),3 (1),4 (2),5 (5),7 (1),8 (2),9 (3),10 (4),11 (3),12 (3),13 (1),14 (1),15 (2),16 (2),18 (1),19 (2),22 (3),23 (1),24 (2),25 (1),26 (2),30 (2),35 (1),36 (1),37 (3),38 (1),41 (1),43 (1),64 (1),56 (1),57 (1),,,,,,,,,,,
6,,Losses:,1 (1),2 (10),3 (3),4 (5),5 (2),8 (1),13 (1),14 (2),16 (1),23 (1),25 (1),34 (1),37 (1),42 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ChuDat,Wins:,3 (3),4 (4),5 (1),8 (1),9 (1),10 (1),12 (2),14 (1),16 (1),21 (1),22 (2),23 (2),24 (1),25 (2),26 (1),29 (2),31 (1),33 (1),37 (1),38 (2),42 (1),43 (1),44 (2),45 (1),52 (2),56 (2),,,,,,,,,,,,,,,,,
7,,Losses:,1 (3),2 (3),3 (2),4 (1),5 (2),6 (1),8 (4),10 (2),11 (2),13 (1),14 (1),16 (1),23 (1),24 (1),28 (1),30 (1),34 (1),41 (1),43 (1),50 (1),,,,,,,,,,,,,,,,,,,,,,,
8,SFAT,Wins:,2 (1),4 (3),5 (2),6 (1),7 (4),9 (5),11 (1),12 (3),13 (4),14 (4),15 (2),16 (3),17 (1),18 (3),19 (4),20 (1),21 (2),23 (1),24 (4),25 (4),26 (2),28 (1),29 (1),30 (5),31 (1),33 (1),36 (2),41 (3),42 (1),44 (2),45 (2),46 (1),49 (1),52 (1),54 (1),56 (1),65 (1),55 (1),,,,,
8,,Losses:,2 (6),3 (1),4 (4),5 (3),6 (2),7 (1),9 (6),10 (4),11 (2),12 (6),15 (1),16 (2),17 (2),19 (1),24 (5),25 (1),36 (1),38 (1),41 (1),45 (1),49 (1),50 (2),,,,,,,,,,,,,,,,,,,,,
9,Axe,Wins:,3 (2),4 (4),8 (6),10 (1),11 (1),13 (1),14 (4),15 (2),16 (3),17 (1),18 (2),19 (1),20 (1),21 (1),23 (1),24 (4),27 (1),28 (2),30 (1),31 (1),32 (1),34 (2),35 (1),36 (1),39 (1),40 (1),42 (1),45 (1),47 (1),48 (1),53 (1),52 (1),67 (1),64 (1),55 (1),,,,,,,,
9,,Losses:,1 (2),2 (2),3 (4),4 (3),5 (3),6 (3),7 (1),8 (5),11 (2),13 (3),15 (3),16 (1),37 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wizzrobe,Wins:,2 (2),4 (1),7 (2),8 (4),11 (4),12 (1),13 (1),15 (2),17 (1),19 (1),21 (1),22 (2),23 (1),24 (2),27 (1),30 (1),33 (2),34 (1),35 (1),40 (1),43 (1),46 (1),48 (1),50 (1),58 (1),62 (1),53 (1),,,,,,,,,,,,,,,,
10,,Losses:,1 (4),2 (5),3 (3),4 (3),6 (4),7 (1),9 (1),12 (1),14 (1),17 (1),28 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Druggedfox,Wins:,5 (1),7 (2),8 (2),9 (2),12 (2),13 (3),16 (2),17 (2),21 (3),22 (3),23 (4),24 (1),26 (1),28 (3),29 (1),31 (1),32 (1),35 (1),37 (4),38 (1),41 (1),43 (1),45 (1),50 (1),54 (1),52 (2),60 (1),,,,,,,,,,,,,,,,
